lat,lon,tos,source_file,month
9.5,-80.5,29.264273138399474,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
9.5,-79.5,29.35959952794588,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
9.5,-78.5,29.438153464705856,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
9.5,-77.5,29.61380376462583,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
7.5,-81.5,28.698233272411205,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
7.5,-80.5,27.736654567718507,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
7.5,-79.5,28.91553261368363,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
7.5,-78.5,29.053953283804432,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
8.5,-81.5,29.344720935821535,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
8.5,-80.5,29.317286014556885,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
8.5,-79.5,29.16081886291504,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
8.5,-78.5,29.02971839904785,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
8.5,-77.5,29.621707248687745,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
9.5,-81.5,28.96776229717113,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
9.5,-80.5,29.165680532102233,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
9.5,-79.5,29.257723944003768,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
9.5,-78.5,29.36619644518252,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
9.5,-77.5,29.65120075013903,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - September (28 models),September
