"","timeseries","SSStime"
"2073","20150909","33.9729199409485"
"2074","20150910","33.9648694992065"
"2075","20150911","33.9567627906799"
"2076","20150912","33.9475297927856"
"2077","20150913","33.9348373413086"
"2078","20150914","33.919652223587"
"2079","20150915","33.8996679782867"
"2080","20150916","33.8737664222717"
"2081","20150917","33.8439230918884"
"2082","20150918","33.8117241859436"
"2083","20150919","33.7795150279999"
"2084","20150920","33.7511684894562"
"2085","20150921","33.7252404689789"
"2086","20150922","33.7063281536102"
"2087","20150923","33.6964478492737"
"2088","20150924","33.6910917758942"
"2089","20150925","33.6901021003723"
"2090","20150926","33.6930840015411"
"2091","20150927","33.6985032558441"
"2092","20150928","33.7037162780762"
"2093","20150929","33.7124843597412"
"2094","20150930","33.7259166240692"
"2095","20151001","33.7508294582367"
"2096","20151002","33.7780952453613"
"2097","20151003","33.813862323761"
"2098","20151004","33.855560541153"
"2099","20151005","33.8994951248169"
"2100","20151006","33.9473738670349"
"2101","20151007","33.9902000427246"
"2102","20151008","34.0273499488831"
"2103","20151009","34.0564415454865"
"2104","20151010","34.0769007205963"
"2105","20151011","34.090297460556"
"2106","20151012","34.0967125892639"
"2107","20151013","34.0946915149689"
"2108","20151014","34.0911493301392"
"2109","20151015","34.0826106071472"
"2110","20151016","34.0702404975891"
"2111","20151017","34.0561056137085"
"2112","20151018","34.0401322841644"
"2113","20151019","34.0240161418915"
"2114","20151020","34.0073716640472"
"2115","20151021","33.9922311306"
"2116","20151022","33.9775407314301"
"2117","20151023","33.9670512676239"
"2118","20151024","33.959144115448"
"2119","20151025","33.9528877735138"
"2120","20151026","33.948272228241"
"2121","20151027","33.9438824653625"
"2122","20151028","33.9419121742249"
"2123","20151029","33.9409193992615"
"2124","20151030","33.9420716762543"
"2125","20151031","33.9474840164185"
"2126","20151101","33.9563405513763"
"2127","20151102","33.9686105251312"
"2128","20151103","33.9833896160126"
"2129","20151104","34.0025224685669"
"2130","20151105","34.020560503006"
"2131","20151106","34.0358004570007"
"2132","20151107","34.0468845367432"
"2133","20151108","34.0513434410095"
"2134","20151109","34.0470423698425"
"2135","20151110","34.0368824005127"
"2136","20151111","34.0224139690399"
"2137","20151112","34.0010116100311"
"2138","20151113","33.9797601699829"
"2139","20151114","33.9606232643127"
"2140","20151115","33.9450278282166"
"2141","20151116","33.9382033348083"
"2142","20151117","33.9373910427094"
"2143","20151118","33.9438173770905"
"2144","20151119","33.9565234184265"
"2145","20151120","33.9726796150208"
"2146","20151121","33.9892773628235"
"2147","20151122","34.0073397159576"
"2148","20151123","34.0211720466614"
"2149","20151124","34.0281255245209"
"2150","20151125","34.0295326709747"
"2151","20151126","34.023800611496"
"2152","20151127","34.0124192237854"
"2153","20151128","33.9972724914551"
"2154","20151129","33.9821312427521"
"2155","20151130","33.966641664505"
"2156","20151201","33.9570081233978"
"2157","20151202","33.9513325691223"
"2158","20151203","33.9491763114929"
"2159","20151204","33.95352602005"
"2160","20151205","33.9586567878723"
"2161","20151206","33.9628982543945"
"2162","20151207","33.9668896198273"
"2163","20151208","33.9693686962128"
"2164","20151209","33.9687747955322"
"2165","20151210","33.9683179855347"
"2166","20151211","33.9700417518616"
"2167","20151212","33.9745316505432"
"2168","20151213","33.9842555522919"
"2169","20151214","33.9989683628082"
"2170","20151215","34.0197675228119"
"2171","20151216","34.0428555011749"
"2172","20151217","34.067854642868"
"2173","20151218","34.090136051178"
"2174","20151219","34.1082162857056"
"2175","20151220","34.1216900348663"
"2176","20151221","34.13139295578"
"2177","20151222","34.1377673149109"
"2178","20151223","34.139904499054"
"2179","20151224","34.1383171081543"
"2180","20151225","34.1378607749939"
"2181","20151226","34.1387186050415"
"2182","20151227","34.1404387950897"
"2183","20151228","34.1445589065552"
"2184","20151229","34.1511154174805"
"2185","20151230","34.1602027416229"
"2186","20151231","34.1713836193085"
"2187","20160101","34.1843667030334"
"2188","20160102","34.1973059177399"
"2189","20160103","34.2131707668304"
"2190","20160104","34.2300779819489"
"2191","20160105","34.2477421760559"
"2192","20160106","34.2645285129547"
"2193","20160107","34.2807321548462"
"2194","20160108","34.2954852581024"
"2195","20160109","34.3084208965302"
"2196","20160110","34.3192660808563"
"2197","20160111","34.3281078338623"
"2198","20160112","34.3355114459991"
"2199","20160113","34.3409907817841"
"2200","20160114","34.3452010154724"
"2201","20160115","34.3493947982788"
"2202","20160116","34.3523290157318"
"2203","20160117","34.3536760807037"
"2204","20160118","34.3528168201447"
"2205","20160119","34.3496317863464"
"2206","20160120","34.3434691429138"
"2207","20160121","34.335355758667"
"2208","20160122","34.3278818130493"
"2209","20160123","34.3199653625488"
"2210","20160124","34.3125865459442"
"2211","20160125","34.3064334392548"
"2212","20160126","34.3026196956635"
"2213","20160127","34.3010995388031"
"2214","20160128","34.3006072044373"
"2215","20160129","34.3006021976471"
"2216","20160130","34.2996883392334"
"2217","20160131","34.2968754768372"
"2218","20160201","34.2933745384216"
"2219","20160202","34.2889044284821"
"2220","20160203","34.2870473861694"
"2221","20160204","34.2850320339203"
"2222","20160205","34.2853779792786"
"2223","20160206","34.2876124382019"
"2224","20160207","34.2917106151581"
"2225","20160208","34.2961332798004"
"2226","20160209","34.3017575740814"
"2227","20160210","34.3081521987915"
