"modelname","month","SSS","SSS_SD","SLdepth"
"MIROC4m","Feb",32.3364171981812,1.35673301362356,"2.5"
"MIROC4m","Mar",32.1586089134216,1.48920778296477,"2.5"
"MIROC4m","Apr",31.8524127006531,1.43774224527244,"2.5"
"MIROC4m","May",31.5672478675842,1.27149510258573,"2.5"
"MIROC4m","Jun",31.4751980304718,1.07870069821639,"2.5"
"MIROC4m","Jul",31.4823849201202,0.896309966512665,"2.5"
"MIROC4m","Aug",31.6051399707794,0.752834425129701,"2.5"
"MIROC4m","Sep",31.8438062667847,0.651386914689494,"2.5"
"MIROC4m","Oct",32.2240016460419,0.595732888975149,"2.5"
"MIROC4m","Nov",32.484828710556,0.64680192782691,"2.5"
"MIROC4m","Dec",32.491776227951,0.816376211718072,"2.5"
"NorESM1-F","Jan",34.8275627231179,0.382670286673062,"0"
"NorESM1-F","Feb",34.7963850210725,0.497055647212749,"0"
"NorESM1-F","Mar",34.5690289495323,0.754394290167992,"0"
"NorESM1-F","Apr",34.1919667028311,1.01510253616658,"0"
"NorESM1-F","May",33.7921707812578,1.12244730753115,"0"
"NorESM1-F","Jun",33.7138373257904,0.971494679671498,"0"
"NorESM1-F","Jul",33.779814070088,0.87101350080234,"0"
"NorESM1-F","Aug",33.9515026511176,0.715951913689842,"0"
"NorESM1-F","Sep",34.1407196772276,0.577943594357784,"0"
"NorESM1-F","Oct",34.3145516730824,0.455078415445904,"0"
"NorESM1-F","Nov",34.5072625079671,0.384502409514809,"0"
"NorESM1-F","Dec",34.6928397785128,0.367809950918074,"0"
"CCSM4-UoT","Jan",19.2409610748291,1.06903339822732,"0"
"CCSM4-UoT","Feb",19.1550790998671,1.01641762591443,"0"
"CCSM4-UoT","Mar",18.9228269788954,0.889319734408615,"0"
"CCSM4-UoT","Apr",18.6416197882758,0.76477337219152,"0"
"CCSM4-UoT","May",18.3577507866753,0.640582235993111,"0"
"CCSM4-UoT","Jun",17.9937210083008,0.4803818661106,"0"
"CCSM4-UoT","Jul",17.7067970699734,0.331541678999832,"0"
"CCSM4-UoT","Aug",17.6645834181044,0.235331660573132,"0"
"CCSM4-UoT","Sep",17.9344622294108,0.341711170819549,"0"
"CCSM4-UoT","Oct",18.4529128604465,0.564430204907467,"0"
"CCSM4-UoT","Nov",18.861999935574,0.829794265783718,"0"
"CCSM4-UoT","Dec",19.1750047471788,1.06660944460916,"0"
"HadGEM3","Jan",33.0660848617554,0.0967945391159117,"0.505760014057159"
"HadGEM3","Feb",33.0949487686157,0.10193366445261,"0.505760014057159"
"HadGEM3","Mar",33.0405559539795,0.141445805726794,"0.505760014057159"
"HadGEM3","Apr",32.9474587440491,0.18097433802286,"0.505760014057159"
"HadGEM3","May",32.7978777885437,0.229493023588944,"0.505760014057159"
"HadGEM3","Jun",32.5998334884643,0.299783426739762,"0.505760014057159"
"HadGEM3","Jul",32.465359210968,0.347243935423174,"0.505760014057159"
"HadGEM3","Aug",32.4890193939209,0.282053937355233,"0.505760014057159"
"HadGEM3","Sep",32.5135135650635,0.203519245071924,"0.505760014057159"
"HadGEM3","Oct",32.5343556404114,0.168857203979771,"0.505760014057159"
"HadGEM3","Nov",32.6582984924316,0.152109660004273,"0.505760014057159"
"HadGEM3","Dec",32.8966417312622,0.134533831717195,"0.505760014057159"
"NorESM-L","Jan",28.8934111558679,0.548414219114203,"0"
"NorESM-L","Feb",28.6644119559857,0.560049442512974,"0"
"NorESM-L","Mar",28.3808393108293,0.568110075408293,"0"
"NorESM-L","Apr",28.1298276274156,0.555755735366164,"0"
"NorESM-L","May",27.9694927166882,0.553420735425983,"0"
"NorESM-L","Jun",27.8966257902381,0.572778994831502,"0"
"NorESM-L","Jul",27.9823850159111,0.590185893674257,"0"
"NorESM-L","Aug",28.1834070506889,0.606759972218172,"0"
"NorESM-L","Sep",28.5088565887014,0.61745476097288,"0"
"NorESM-L","Oct",28.8109663333426,0.618466457891287,"0"
"NorESM-L","Nov",28.955179437542,0.596401712248989,"0"
"NorESM-L","Dec",28.9741246339865,0.561454598935312,"0"
