Final_d18O,Final_d13C,Specimen,Species,D47_corr,D47_sd_ext,d18O_sd_ext,d13C_sd_ext,ShellChron_DOY,ShellChron_DOY_err,Month,T_mean,T_sd
1.63,1.95,SG116,Glycymeris radiolyrata,0.662329292,0.056342426,0.082083598,0.057852486,112.7616626,11.13227633,4,5.709163932,15.5058298
1.45,2.06,SG116,Glycymeris radiolyrata,0.572323566,0.056342426,0.082083598,0.057852486,144.1286914,13.38311738,5,34.10579606,20.8175617
0.76,2.24,SG116,Glycymeris radiolyrata,0.602318119,0.056342426,0.082083598,0.057852486,119.9113283,,4,23.70141408,18.74604227
1.98,2.33,SG116,Glycymeris radiolyrata,0.692312813,0.056342426,0.082083598,0.057852486,289.6247767,13.64848559,10,-2.135668881,14.2218623
2.62,1.33,SG107,Arctica islandica,0.712296065,0.056342426,0.082083598,0.057852486,20.47925163,4.234459876,1,-7.010725026,13.46164005
1.1,2.25,SG116,Glycymeris radiolyrata,0.732290414,0.056342426,0.082083598,0.057852486,124.4499235,107.1055879,5,-11.63432386,12.76664606
1.98,2.18,SG116,Glycymeris radiolyrata,0.792272987,0.056342426,0.082083598,0.057852486,309.8665315,11.98179217,11,-24.18124668,11.00418508
1.32,2.08,SG116,Glycymeris radiolyrata,0.612266877,0.056342426,0.082083598,0.057852486,266.9510316,10.30141124,9,20.47704585,18.13411013
1.85,1.12,SG107,Arctica islandica,0.562260919,0.056342426,0.082083598,0.057852486,63.67736421,6.035173723,3,37.84925348,21.60000167
1.04,2.26,SG116,Glycymeris radiolyrata,0.662254809,0.056342426,0.082083598,0.057852486,204.1683252,8.865119495,7,5.729507917,15.50925856
1.37,2.34,SG116,Glycymeris radiolyrata,0.652242751,0.056342426,0.082083598,0.057852486,244.8451686,,8,8.505380554,15.98198142
2.65,1.2,SG107,Arctica islandica,0.692235686,0.056342426,0.082083598,0.057852486,17.23976472,3.373816746,1,-2.116331146,14.2249347
1.97,1.99,SG116,Glycymeris radiolyrata,0.552229585,0.056342426,0.082083598,0.057852486,306.7249902,14.96352957,11,41.72064569,22.43037718
1.26,2.28,SG116,Glycymeris radiolyrata,0.632223484,0.056342426,0.082083598,0.057852486,116.4968279,,4,14.3137847,17.00287312
2.29,1.52,SG107,Arctica islandica,0.622203517,0.056342426,0.082083598,0.057852486,80.33692336,5.78869834,3,17.35925557,17.55560208
1.06,2.21,SG116,Glycymeris radiolyrata,0.722196486,0.056342426,0.082083598,0.057852486,137.6234082,13.38925473,5,-9.330536582,13.10980637
0.69,1.95,SG116,Glycymeris radiolyrata,0.71130245,0.056342426,0.082083598,0.057852486,170.5057357,9.466775324,6,-6.774512758,13.49782154
1.41,2.14,SG116,Glycymeris radiolyrata,0.691291165,0.056342426,0.082083598,0.057852486,199.3155108,11.36456868,7,-1.87917712,14.26265086
1.12,1.91,SG116,Glycymeris radiolyrata,0.601280707,0.056342426,0.082083598,0.057852486,242.6598545,5.7439588,8,24.04378692,18.81184187
0.95,1.89,SG116,Glycymeris radiolyrata,0.661236459,0.056342426,0.082083598,0.057852486,26.68740278,25.93052451,1,6.008105192,15.55626529
