ID,D,Run,Row,Sample.intensity,X49.parameter,D47_raw,D47_SD,D47_final,Temperature,d18O,d13C,Whorl,sample_nr,Year,season_manual,d18O_SD,day,DOY_SD,season_label,T_d18O,DOY,Season
AP101,635.5,,,,,,,,,-1.16,,,,,,0.1,508.19805,9.726592909,,,143.19805,
AP201,635.5,,,,,,,,,,,,,,,0.1,508.19805,9.726592909,,,143.19805,
AP301,635.5,,,,,,,,,-1.05,,,,,,0.1,508.19805,9.726592909,,,143.19805,
AP401,635.5,,,,,,,,,-1.19,,,,,,0.1,508.19805,9.726592909,,,143.19805,
AP501,635.5,,,,,,,,,-1.28,,,,,,0.1,508.19805,9.726592909,,,143.19805,
AP001,638,,,,,,,,,-1.29,0.2,,,,,0.1,509.3933067,9.627984429,,,144.3933067,
AP003,644,,,,,,,,,-1.38,0.2,,,,,0.1,511.8345443,9.447717495,,,146.8345443,
AP005,650,,,,,,,,,-1.32,0.14,,,,,0.1,513.3443817,9.252272476,,,148.3443817,
AP007,656,,,,,,,,,-1.35,0.35,,,,,0.1,513.9858167,9.13351044,,,148.9858167,
AP009,662,,,,,,,,,-1.5,0.21,,,,,0.1,516.9013186,9.017323214,,,151.9013186,
AP011,668,,,,,,,,,-1.6,0.13,,,,,0.1,515.8813623,10.35310944,,,150.8813623,
AP013,674,,,,,,,,,-1.45,0.1,,,,,0.1,517.6314363,10.49416902,,,152.6314363,
AP015,680,,,,,,,,,-1.6,0.09,,,,,0.1,519.1640514,10.84745068,,,154.1640514,
AP017,686,,,,,,,,,-1.68,0.16,,,,,0.1,523.7413085,8.745723244,,,158.7413085,
AP019,692,,,,,,,,,-1.62,0.35,,,,,0.1,526.5851376,8.755034276,,,161.5851376,
AP021,698,,,,,,,,,-1.8,1.22,,,,,0.1,528.5216376,8.832914411,,,163.5216376,
AP023,704,,,,,,,,,-1.91,1.29,,,,,0.1,530.9018654,8.870931355,,,165.9018654,
AP025,710,,,,,,,,,-2.07,1.22,,,,,0.1,532.7050364,9.024598154,,,167.7050364,
AP027,716,,,,,,,,,,1.22,,,,,0.1,532.8324891,10.11257338,,,167.8324891,
AQavg01,718,,,,,,,,,-1.92,,,,,,0.1,532.9599418,11.20054861,,,167.9599418,
AQ101,718,,,,,,,,,-1.87,,,,,,0.1,532.9599418,11.20054861,,,167.9599418,
AQ201,718,,,,,,,,,-1.93,,,,,,0.1,532.9599418,11.20054861,,,167.9599418,
AQ301,718,,,,,,,,,-1.96,,,,,,0.1,532.9599418,11.20054861,,,167.9599418,
AQ401,718,,,,,,,,,-1.9,,,,,,0.1,532.9599418,11.20054861,,,167.9599418,
AQ501,718,,,,,,,,,-1.92,,,,,,0.1,532.9599418,11.20054861,,,167.9599418,
AQ001,722,,,,,,,,,-2.03,1.32,,,,,0.1,534.2350776,8.877050632,,,169.2350776,
AQ003,728,,,,,,,,,-1.95,1.29,,,,,0.1,538.4022061,9.319423566,,,173.4022061,
AQ005,734,,,,,,,,,-1.95,1.33,,,,,0.1,540.178656,11.56094116,,,175.178656,
AQ007,740,,,,,,,,,-2.04,1.15,,,,,0.1,540.1800067,9.070822835,,,175.1800067,
AQ009,746,,,,,,,,,-1.97,1.01,,,,,0.1,543.4698677,13.47436847,,,178.4698677,
AQ011,752,,,,,,,,,-2.06,0.86,,,,,0.1,543.3261333,9.060191517,,,178.3261333,
AQ013,758,,,,,,,,,-2.16,0.97,,,,,0.1,544.8076419,9.86458019,,,179.8076419,
AQ015,764,,,,,,,,,-2.07,0.75,,,,,0.1,547.3142387,11.4277052,,,182.3142387,
AQ017,770,,,,,,,,,-2.16,0.62,,,,,0.1,549.1505916,11.65968515,,,184.1505916,
AQ019,776,,,,,,,,,-2.01,0.8,,,,,0.1,550.9336454,12.92293019,,,185.9336454,
AQ021,782,,,,,,,,,-2.22,0.61,,,,,0.1,552.488841,13.42072757,,,187.488841,
AQ023,788,,,,,,,,,-2.24,0.62,,,,,0.1,554.0604083,12.33414915,,,189.0604083,
